"Full Stack Software Engineer - Ruby, Python, JavaScript - $175k+",Gambit Technologies,Dice Id : 10116662,Position Id : SD9412256513,"Denver, CO","https://www.dice.com/jobs/detail/Full-Stack-Software-Engineer-%26%2345-Ruby%2C-Python%2C-JavaScript-%26%2345-%24175k%2B-Gambit-Technologies-Denver-CO-80002/10116662/SD9412256513?icid=sr10-1p&q=ruby&l=Aurora, CO",Posted 6 hours ago
Site Reliability Engineer,Oracle Corporation,Dice Id : 10112602,Position Id : 928933,"Broomfield, CO","https://www.dice.com/jobs/detail/Site-Reliability-Engineer-Oracle-Corporation-Broomfield-CO-80020/10112602/928933?icid=sr11-1p&q=ruby&l=Aurora, CO",Posted 2 weeks ago
UX/UI Hybrid Salesforce Architect - Denver,Deloitte,Dice Id : 10106525,Position Id : 22809602000005632,"Denver, CO","https://www.dice.com/jobs/detail/UX%26%2347UI-Hybrid-Salesforce-Architect-%26%2345-Denver-Deloitte-Denver-CO-80002/10106525/22809602000005632?icid=sr12-1p&q=ruby&l=Aurora, CO",Posted 17 hours ago
UX/UI Hybrid Salesforce Senior Developer - Denver,Deloitte,Dice Id : 10106525,Position Id : 22654212000005632,"Denver, CO","https://www.dice.com/jobs/detail/UX%26%2347UI-Hybrid-Salesforce-Senior-Developer-%26%2345-Denver-Deloitte-Denver-CO-80002/10106525/22654212000005632?icid=sr13-1p&q=ruby&l=Aurora, CO",Posted 17 hours ago
NMS Developer,Technical Resource Network,Dice Id : 10208680,Position Id : VW2,"Englewood, CO","https://www.dice.com/jobs/detail/NMS-Developer-Technical-Resource-Network-Englewood-CO-80110/10208680/VW2?icid=sr14-1p&q=ruby&l=Aurora, CO",Posted 11 hours ago
QA Automation Engineer,Vbeyond Corporation,Dice Id : 10209652,Position Id : 332861,"Broomfield, CO","https://www.dice.com/jobs/detail/QA-Automation-Engineer-Vbeyond-Corporation-Broomfield-CO-80020/10209652/332861?icid=sr15-1p&q=ruby&l=Aurora, CO",Posted 2 days ago
Senior Javascript Developer,CyberCoders,Dice Id : cybercod,Position Id : MS2-12502665,"Denver, CO","https://www.dice.com/jobs/detail/Senior-Javascript-Developer-CyberCoders-Denver-CO-80201/cybercod/MS2-12502665?icid=sr16-1p&q=ruby&l=Aurora, CO",Posted 16 hours ago
Sr Sys Integration Technologist - 1936,Information Technology Engineering Corporation,Dice Id : infco001,Position Id : 1936,"Aurora, CO",http://www.dice.com/job/result/infco001/1936?icid=sr17-1p,Posted 19 hours ago
"Software Engineer - Angular/Node.js/Express, NoSQL / MongoDB / H",CyberCoders,Dice Id : cybercod,Position Id : MC5-12472619,"Boulder, CO","https://www.dice.com/jobs/detail/Software-Engineer-%26%2345-Angular%26%2347Node.js%26%2347Express%2C-NoSQL-%26%2347-MongoDB-%26%2347-H-CyberCoders-Boulder-CO-80301/cybercod/MC5-12472619?icid=sr18-1p&q=ruby&l=Aurora, CO",Posted 16 hours ago
Back End Developer,CyberCoders,Dice Id : cybercod,Position Id : LE2-12421215,"Denver, CO","https://www.dice.com/jobs/detail/Back-End-Developer-CyberCoders-Denver-CO-80201/cybercod/LE2-12421215?icid=sr19-1p&q=ruby&l=Aurora, CO",Posted 16 hours ago
